stem,peak_pre_master_gain,rms_db_pre_master_gain
01_主旋律_lead,0.683778,-12.14
02_低频_bass,0.288964,-21.6
03_鼓组_drums,1.035513,-21.98
04_和声与arp,0.164102,-29.42
05_瞬移FX,0.16283,-43.8
